Ticker,Name,Last,Change,%Chg,High,Low,Volume,Time,Industry
AAPL,"Apple Inc",168.45,-0.93,-0.55%,170.65,168.07,34350739,"14:56 ET","Information Technology"
ABBV,"Abbvie Inc",163.93,1.39,+0.86%,164.74,163.23,2084974,"14:56 ET","Health Care"
ABT,"Abbott Laboratories",105.62,-3.59,-3.29%,108.72,104.25,8548152,"14:56 ET","Health Care"
ACN,"Accenture Plc",315.34,1.4,+0.45%,317.02,312.61,1549712,"14:56 ET","Information Technology"
ADBE,"Adobe Systems Inc",475.97,-0.25,-0.05%,481.02,472.685,1201872,"14:56 ET","Information Technology"
AIG,"American International Group",72.48,-1.33,-1.80%,73.55,71.51,4188653,"14:56 ET","Financials"
AMD,"Adv Micro Devices",156.11,-7.35,-4.50%,164.45,155.33,53667068,"14:56 ET","Information Technology"
AMGN,"Amgen Inc",265.63,-0.01,0.00%,268.775,263.385,1239598,"14:56 ET","Health Care"
AMT,"American Tower Corp",172.49,0.28,+0.16%,173.36,171.08,1770887,"14:56 ET","Real Estate"
AMZN,"Amazon.com Inc",181.49,-1.83,-1.00%,184.57,179.82,21405279,"14:56 ET","Consumer Discretionary"
AVGO,"Broadcom Ltd",1295.03,-34.03,-2.56%,1347,1289.0101,1197908,"14:56 ET","Information Technology"
AXP,"American Express Company",218.29,-0.05,-0.02%,220.28,216.52,1418312,"14:56 ET","Financials"
BA,"Boeing Company",169.5,-1.05,-0.62%,170.85,168.1215,5847253,"14:56 ET","Industrials"
BAC,"Bank of America Corp",35.61,0.93,+2.68%,35.71,34.75,38168944,"14:56 ET","Financials"
BK,"Bank of New York Mellon Corp",54.68,0.68,+1.26%,54.9,54.085,2705414,"14:56 ET","Financials"
BKNG,"Booking Holdings Inc",3454.9,-12.87,-0.37%,3493.41,3430.57,90133,"14:56 ET","Consumer Discretionary"
BLK,"Blackrock Inc",754.7,5.0300000000001,+0.67%,758.185,748.08,374351,"14:56 ET","Financials"
BMY,"Bristol-Myers Squibb Company",47.92,-0.34,-0.70%,48.55,47.7,6713228,"14:56 ET","Health Care"
BRK.B,"Berkshire Hathaway Cl B",397.93,1.01,+0.25%,399.28,395.661,1370734,"14:56 ET","Financials"
C,"Citigroup Inc",58.59,1.57,+2.75%,58.75,57.36,9637018,"14:56 ET","Financials"
CAT,"Caterpillar Inc",357.59,-2.29,-0.64%,362.91,352.88,1546868,"14:56 ET","Industrials"
CHTR,"Charter Communications Inc",258.52,0.94999999999999,+0.37%,265.26,257.62,549776,"14:56 ET","Communication Services"
CL,"Colgate-Palmolive Company",86.42,0.25,+0.29%,86.59,85.915,2030530,"14:56 ET","Consumer Staples"
CMCSA,"Comcast Corp A",38.95,-0.17,-0.43%,39.42,38.88,11393517,"14:56 ET","Communication Services"
COF,"Capital One Financial Corp",137.74,1.33,+0.98%,138.57,136.7,872754,"14:56 ET","Financials"
COP,Conocophillips,128.72,-0.81,-0.63%,130.14,127.55,2147311,"14:56 ET","Energy"
COST,"Costco Wholesale",715,-0.97,-0.14%,723.8,711,698815,"14:55 ET","Consumer Staples"
CRM,"Salesforce Inc",277.37,-0.04,-0.01%,278.25,274.84,2832829,"14:56 ET","Information Technology"
CSCO,"Cisco Systems Inc",47.94,0.019999999999996,+0.04%,48.28,47.7101,6517562,"14:56 ET","Information Technology"
CVS,"CVS Corp",68.55,-0.48,-0.70%,69.4,67.96,4263926,"14:56 ET","Health Care"
CVX,"Chevron Corp",156.83,0.55000000000001,+0.35%,157.7,155.64,4170111,"14:56 ET","Energy"
DE,"Deere & Company",395.97,2.96,+0.75%,397.62,392.39,743819,"14:56 ET","Industrials"
DHR,"Danaher Corp",239.59,-0.75,-0.31%,240.84,238.02,1560673,"14:56 ET","Health Care"
DIS,"Walt Disney Company",113.38,-0.5,-0.44%,114.21,113.04,4286567,"14:56 ET","Communication Services"
DOW,"Dow Inc",56.94,0.079999999999998,+0.14%,57.36,56.67,1553126,"14:56 ET","Materials"
DUK,"Duke Energy Corp",94.41,1.54,+1.66%,94.67,93.2,884342,"14:55 ET","Utilities"
EMR,"Emerson Electric Company",110.06,-1.43,-1.28%,112.33,109.6,1056696,"14:56 ET","Industrials"
F,"Ford Motor Company",12.08,-0.01,-0.08%,12.249,12.04,26946449,"14:56 ET","Consumer Discretionary"
FDX,"Fedex Corp",263.34,-1.6,-0.60%,265.931,262.22,674391,"14:56 ET","Industrials"
GD,"General Dynamics Corp",284.75,-0.55,-0.19%,286.5,283.67,352276,"14:55 ET","Industrials"
GE,"General Electric Company",155.51,-1.25,-0.80%,158.6799,153.63,3905208,"14:56 ET","Industrials"
GILD,"Gilead Sciences Inc",67.11,-0.2,-0.30%,67.55,66.95,2545069,"14:56 ET","Health Care"
GM,"General Motors Company",42.46,-0.2,-0.47%,43.16,42.33,5949179,"14:56 ET","Consumer Discretionary"
GOOG,"Alphabet Cl C",157.35,1.35,+0.87%,158.681,156.135,10120399,"14:56 ET","Communication Services"
GOOGL,"Alphabet Cl A",155.83,1.43,+0.93%,157.08,154.58,13696141,"14:56 ET","Communication Services"
GS,"Goldman Sachs Group",405.23,8.37,+2.11%,406.63,401.18,2950626,"14:56 ET","Financials"
HD,"Home Depot",334.3,-0.53,-0.16%,337.25,331.9401,2220154,"14:56 ET","Consumer Discretionary"
HON,"Honeywell International Inc",190.18,-0.54,-0.28%,192.52,189.81,1121588,"14:56 ET","Industrials"
IBM,"International Business Machines",183.22,-0.53,-0.29%,184.67,181.78,1736805,"14:56 ET","Information Technology"
INTC,"Intel Corp",35.72,-0.54,-1.49%,36.1297,35.37,20163891,"14:56 ET","Information Technology"
INTU,"Intuit Inc",614.76,3.27,+0.53%,617.8,611.8401,592808,"14:56 ET","Information Technology"
JNJ,"Johnson & Johnson",144.21,-0.24,-0.17%,145.41,143.54,6030355,"14:56 ET","Health Care"
JPM,"JP Morgan Chase & Company",180.69,-0.11,-0.06%,182.4199,179.2,5422247,"14:56 ET","Financials"
KHC,"Kraft Heinz Company",36.76,0.16999999999999,+0.46%,36.94,36.47,3391614,"14:56 ET","Consumer Staples"
KO,"Coca-Cola Company",58.39,0.33,+0.57%,58.495,58.1,8132527,"14:56 ET","Consumer Staples"
LIN,"Linde Plc",446.13,0.35000000000002,+0.08%,449.11,443.98,640316,"14:56 ET","Materials"
LLY,"Eli Lilly and Company",751.72,4.98,+0.67%,771.83,744.8776,2351865,"14:56 ET","Health Care"
LMT,"Lockheed Martin Corp",454.66,0.35000000000002,+0.08%,457.24,451.7301,408193,"14:56 ET","Industrials"
LOW,"Lowe's Companies",230.14,1.79,+0.78%,230.5,227.24,834427,"14:56 ET","Consumer Discretionary"
MA,"Mastercard Inc",460.16,0.34000000000003,+0.07%,463.41,458.15,935140,"14:56 ET","Information Technology"
MCD,"McDonald's Corp",269.14,3.71,+1.40%,269.47,265.52,1782805,"14:56 ET","Consumer Discretionary"
MDLZ,"Mondelez Intl Inc",66.23,0.25,+0.38%,66.66,66,3399517,"14:56 ET","Consumer Staples"
MDT,"Medtronic Inc",79.12,-0.13,-0.16%,79.85,78.95,3090893,"14:56 ET","Health Care"
MET,"Metlife Inc",69.17,0.23999999999999,+0.35%,69.68,68.58,1432681,"14:56 ET","Financials"
META,"Meta Platforms Inc",496.02,-3.74,-0.75%,503.16,487.14,8619854,"14:56 ET","Communication Services"
MMM,"3M Company",90.98,-0.07,-0.08%,92.105,90.3302,2101274,"14:56 ET","Industrials"
MO,"Altria Group",41.06,0.31,+0.76%,41.22,40.74,4490056,"14:56 ET","Consumer Staples"
MRK,"Merck & Company",125.07,0.0099999999999909,+0.01%,126.19,124.71,3592319,"14:56 ET","Health Care"
MS,"Morgan Stanley",90.1,0.95999999999999,+1.08%,91.44,89.86,5795330,"14:56 ET","Financials"
MSFT,"Microsoft Corp",412.73,-1.85,-0.45%,418.88,410.33,10339729,"14:56 ET","Information Technology"
NEE,"Nextera Energy",63.52,1.82,+2.95%,63.76,61.92,9110416,"14:56 ET","Utilities"
NFLX,"Netflix Inc",614.93,-2.59,-0.42%,620.97,607.71,2039446,"14:56 ET","Communication Services"
NKE,"Nike Inc",94.76,1.37,+1.47%,95.07,93.66,6533927,"14:56 ET","Consumer Discretionary"
NVDA,"Nvidia Corp",850.46,-23.69,-2.71%,887.75,843.35,36513174,"14:56 ET","Information Technology"
ORCL,"Oracle Corp",119.63,-0.99,-0.82%,121.04,119.1,3211324,"14:56 ET","Information Technology"
PEP,"Pepsico Inc",168.69,1.19,+0.71%,169.27,168.21,1902654,"14:56 ET","Consumer Staples"
PFE,"Pfizer Inc",25.42,-0.27,-1.05%,25.69,25.26,32473192,"14:56 ET","Health Care"
PG,"Procter & Gamble Company",156.44,0.49000000000001,+0.31%,156.87,155.74,3475488,"14:56 ET","Consumer Staples"
PM,"Philip Morris International Inc",90.44,0.94,+1.05%,90.58,89.3,2542528,"14:56 ET","Consumer Staples"
PYPL,"Paypal Holdings",63.36,-0.07,-0.11%,63.97,62.58,5274444,"14:56 ET","Information Technology"
QCOM,"Qualcomm Inc",165.04,-3.54,-2.10%,170.1898,163.7704,4035465,"14:56 ET","Information Technology"
RTX,"Rtx Corp",100.82,-0.02,-0.02%,101.79,100.15,2996911,"14:56 ET","Industrials"
SBUX,"Starbucks Corp",86.14,0.72,+0.84%,86.295,85.34,3947303,"14:56 ET","Consumer Discretionary"
SCHW,"The Charles Schwab Corp",72.92,-0.15,-0.21%,73.8765,72.32,5802630,"14:56 ET","Financials"
SO,"Southern Company",69.76,1.99,+2.94%,69.93,68.02,3833011,"14:56 ET","Utilities"
SPG,"Simon Property Group",141.42,1.07,+0.76%,141.83,140.13,540821,"14:56 ET","Real Estate"
T,"AT&T Inc",16.14,0.050000000000001,+0.31%,16.25,16.06,16228030,"14:56 ET","Communication Services"
TGT,"Target Corp",164.52,1.2,+0.73%,167.94,163.87,2357934,"14:55 ET","Consumer Discretionary"
TMO,"Thermo Fisher Scientific Inc",547.99,-6.56,-1.18%,556,547.23,774742,"14:55 ET","Health Care"
TMUS,"T-Mobile US",159.94,0.15000000000001,+0.09%,160.65,159.41,2224764,"14:56 ET","Communication Services"
TSLA,"Tesla Inc",157.15,0.039999999999992,+0.03%,158,153.78,65682256,"14:56 ET","Consumer Discretionary"
TXN,"Texas Instruments",166.6,-0.99,-0.59%,168.98,165.8,2051107,"14:56 ET","Information Technology"
UNH,"Unitedhealth Group Inc",482.33,13.44,+2.87%,488,474.59,6064713,"14:56 ET","Health Care"
UNP,"Union Pacific Corp",229.48,-1.78,-0.77%,232.13,227.87,1058320,"14:56 ET","Industrials"
UPS,"United Parcel Service",142.75,-0.14,-0.10%,143.42,141.35,2702028,"14:56 ET","Industrials"
USB,"U.S. Bancorp",39.61,-1.39,-3.39%,39.97,38.79,10046393,"14:56 ET","Financials"
V,"Visa Inc",272.75,1.4,+0.52%,274,271.5,1872773,"14:56 ET","Information Technology"
VZ,"Verizon Communications Inc",39.76,-0.01,-0.03%,39.975,39.4615,10982832,"14:56 ET","Communication Services"
WFC,"Wells Fargo & Company",57.39,0.98,+1.74%,57.5,56.65,11789656,"14:56 ET","Financials"
WMT,"Walmart Inc",59.98,0.13999999999999,+0.23%,60.43,59.57,8800327,"14:56 ET","Consumer Staples"
